time,x-acceleration,y-acceleration,z-acceleration
5.180,0.288,-0.030,0.949
5.200,0.468,-0.084,0.895
5.220,0.628,-0.133,0.871
5.240,0.559,-0.138,0.897
5.260,0.588,-0.157,0.859
5.280,0.620,-0.195,0.825
5.300,0.622,-0.212,0.817
5.320,0.543,-0.192,0.810
5.340,0.502,-0.224,0.853
5.360,0.440,-0.274,0.919
5.380,0.367,-0.266,0.936
5.400,0.363,-0.269,0.876
5.420,0.384,-0.270,0.822
5.440,0.444,-0.257,0.811
5.460,0.446,-0.217,0.877
5.480,0.374,-0.149,1.038
5.500,0.264,-0.175,1.134
5.520,0.231,-0.187,1.049
5.540,0.357,-0.163,0.984
5.560,0.444,-0.105,0.986
5.580,0.074,0.034,0.946
5.600,0.178,0.004,1.042
5.620,0.343,-0.060,1.006
5.640,0.345,-0.143,0.975
5.660,0.326,-0.228,1.018
5.680,0.211,-0.358,0.999
5.700,0.105,-0.365,1.037
5.720,-0.047,-0.355,0.963
5.740,0.054,-0.302,0.976
5.760,0.249,-0.312,1.053
5.780,0.231,-0.382,1.134
5.800,0.105,-0.508,1.273
5.820,0.085,-0.610,1.336
5.840,0.143,-0.657,1.200
5.860,0.186,-0.698,1.042
5.880,0.112,-0.763,0.930
5.900,-0.085,-0.783,0.882
5.920,-0.280,-0.765,0.849
5.940,-0.368,-0.694,0.708
5.960,-0.303,-0.629,0.635
5.980,-0.088,-0.536,0.665
6.000,-0.023,-0.464,0.609
6.020,0.050,-0.385,0.625
6.040,0.177,-0.272,0.728
6.060,0.219,-0.132,0.816
6.080,0.312,-0.005,0.913
6.100,0.443,0.053,0.958
6.120,0.553,0.059,0.975
6.140,0.490,0.023,0.953
6.160,0.416,-0.025,0.917
6.180,0.390,-0.079,0.857
6.200,0.371,-0.101,0.870
6.220,0.367,-0.063,0.969
6.240,0.582,-0.002,1.086
6.260,0.758,0.013,1.105
6.280,0.663,0.010,0.969
6.300,0.568,0.107,0.947
6.320,0.651,0.103,0.918
6.340,0.679,0.024,0.803
6.360,0.566,-0.033,0.655
6.380,0.445,-0.070,0.628
