time,x-acceleration,y-acceleration,z-acceleration
13.540,-0.250,0.784,0.192
13.560,-0.255,0.781,0.204
13.580,-0.259,0.793,0.224
13.600,-0.261,0.832,0.245
13.620,-0.252,0.878,0.252
13.640,-0.236,0.901,0.249
13.660,-0.231,0.986,0.256
13.680,-0.242,1.115,0.291
13.700,-0.237,1.190,0.301
13.720,-0.239,1.213,0.297
13.740,-0.278,1.149,0.308
13.760,-0.305,1.031,0.322
13.780,-0.327,0.903,0.331
13.800,-0.330,0.795,0.344
13.820,-0.311,0.737,0.352
13.840,-0.270,0.723,0.334
13.860,-0.216,0.755,0.315
13.880,-0.154,0.845,0.307
13.900,-0.126,0.969,0.322
13.920,-0.132,1.065,0.353
13.940,-0.173,1.101,0.345
13.960,-0.206,1.071,0.324
13.980,-0.253,1.002,0.333
14.000,-0.292,0.930,0.360
14.020,-0.301,0.864,0.351
14.040,-0.276,0.821,0.317
14.060,-0.217,0.795,0.313
14.080,-0.189,0.780,0.317
14.100,-0.168,0.778,0.318
14.120,-0.190,0.788,0.316
14.140,-0.233,0.800,0.314
14.160,-0.250,0.800,0.303
14.180,-0.272,0.805,0.301
14.200,-0.278,0.823,0.312
14.220,-0.268,0.845,0.319
14.240,-0.252,0.863,0.316
14.260,-0.251,0.880,0.310
14.280,-0.260,0.895,0.304
14.300,-0.274,0.913,0.304
14.320,-0.284,0.939,0.309
14.340,-0.283,0.966,0.310
14.360,-0.279,0.978,0.307
14.380,-0.278,0.978,0.300
14.400,-0.280,1.018,0.274
14.420,-0.283,1.169,0.302
14.440,-0.290,1.206,0.326
14.460,-0.284,1.252,0.293
14.480,-0.311,1.236,0.312
14.500,-0.318,1.122,0.321
14.520,-0.322,0.987,0.304
14.540,-0.320,0.865,0.291
14.560,-0.287,0.777,0.281
14.580,-0.252,0.760,0.256
14.600,-0.213,0.835,0.255
14.620,-0.191,0.969,0.310
14.640,-0.175,1.089,0.337
14.660,-0.171,1.141,0.318
14.680,-0.209,1.154,0.284
14.700,-0.243,1.166,0.266
14.720,-0.259,1.157,0.268
14.740,-0.257,1.104,0.258
14.760,-0.241,1.033,0.248
14.780,-0.233,0.966,0.239
14.800,-0.233,0.912,0.236
14.820,-0.230,0.871,0.244
14.840,-0.225,0.830,0.253
14.860,-0.218,0.795,0.256
14.880,-0.216,0.768,0.257
14.900,-0.222,0.742,0.261
14.920,-0.226,0.719,0.262
14.940,-0.234,0.705,0.270
14.960,-0.242,0.701,0.282
14.980,-0.243,0.703,0.283
15.000,-0.247,0.716,0.288
15.020,-0.257,0.761,0.303
15.040,-0.252,0.813,0.310
15.060,-0.258,0.845,0.312
15.080,-0.263,0.835,0.301
15.100,-0.272,0.860,0.270
15.120,-0.292,0.997,0.290
15.140,-0.286,1.099,0.319
15.160,-0.259,1.211,0.323
15.180,-0.258,1.271,0.324
15.200,-0.247,1.226,0.300
15.220,-0.281,1.144,0.276
15.240,-0.334,1.031,0.281
15.260,-0.367,0.940,0.279
15.280,-0.376,0.891,0.260
15.300,-0.347,0.873,0.252
15.320,-0.277,0.865,0.250
15.340,-0.210,0.890,0.254
15.360,-0.154,0.955,0.271
15.380,-0.145,1.023,0.289
15.400,-0.172,1.051,0.281
15.420,-0.207,1.042,0.262
15.440,-0.238,1.010,0.266
15.460,-0.257,0.961,0.294
15.480,-0.257,0.907,0.301
15.500,-0.246,0.862,0.294
15.520,-0.239,0.818,0.308
15.540,-0.226,0.794,0.336
15.560,-0.215,0.788,0.344
15.580,-0.212,0.788,0.353
15.600,-0.227,0.778,0.359
15.620,-0.245,0.764,0.363
15.640,-0.268,0.760,0.368
15.660,-0.272,0.762,0.375
15.680,-0.269,0.776,0.385
15.700,-0.258,0.803,0.394
15.720,-0.247,0.831,0.398
15.740,-0.242,0.853,0.393
15.760,-0.241,0.871,0.388
15.780,-0.250,0.896,0.383
15.800,-0.267,0.930,0.376
15.820,-0.271,1.024,0.371
15.840,-0.257,1.157,0.392
15.860,-0.245,1.228,0.399
15.880,-0.236,1.281,0.373
15.900,-0.246,1.314,0.354
15.920,-0.262,1.261,0.350
15.940,-0.264,1.122,0.324
15.960,-0.278,0.976,0.294
15.980,-0.279,0.882,0.280
16.000,-0.268,0.830,0.280
16.020,-0.246,0.800,0.285
